text	sentiment
http   twitpic com  so d   my samsung was silver  and worked properly  i miss it  i paid     for it 	0
you made craig morgan  quot bonfire quot  a sink   thanks for calling in 	1
 mssheena noooooo uugh i am hatin    those r my fav 	0
aha  just figured out how to remove unwanted twitters 	1
exam week  fml 	0
 bigbizness    lol   thanks for the advice   i m not rushinq it 	1
tries to catch up after absence due to a conference and a short holiday    quot clouds quot  everywhere   though that does not mean  quot bad weather quot  	1
 asteris                               both swim and vote   eu    eu  gr  	1
 emelgeek hehe  thanks  ingat pauwi  	1
 md      i like that last thought though 	1
 philloau yeah much better  back to work tomorrow 	0
 wrestlingfans i hope it's just a storyline and that donald hasen't bought if he has it will be his adverts for the other shows he bought 	0
we r putting together  quot big boy quot  bed for  yo a step   captains bed w space underneath for storage or kids to crawl in  amp  play byebye crib 	0
i love u marckyy  lovely guy   or gay haha not only guy xd	1
's fav part of leah's show  getting e's  amp  r's heads unstuck from the chairs  ugh  the show was really neat 	1
 positivekoral i want to go to chicago to see them  while im visiting la from new zealand but dont know if i can afford 	0
 andrewmclean you just keep telling them that   posting the fastest tt at cgc champs out of all categories 	1
 tuttobene interview is in minneapolis  for running a tax law thing with legal aid  and yes fed won 	1
yet another sunny day in utrecht  to be spent indoors   the last day of the hackathon     time to test and release   hac 	0
 sarahroger that's cool  i'll sleep on the floor if needs be  my bro isn't going  so excited  though 	0
 equestrian   ooc  aw   i dropped a guinea pig once  that was   interesting 	0
 genesis    lol doubt beer can make it any better whatsoever 	0
off to work    then vacation for the rest of the week  	1
my thoughts  amp  prayers are with the tyson family  	0
simple things in life havin dinner with ur family n loved ones   bliss     http   tweet sg	1
freebie  get a free drink from the coffee bean  amp  tea leaf  http   short to  cp  follow me for your twitter freebies  	1
perfectly happy  the only thing is miss right now is the sun    	1
 umdoll     the aj one made my life    obvs   esp cuz we went back and forth for a hot min on dm 	1
back to büdipest   	0
 ddlovato i can't watch it cause i live in canada   but i heard she lost  i'm so mad  	0
 sweedzie she is not pretty at all 	0
is with sasha 	1
 srah scottydog us two for macbeth  one othello from  thricewiser  waiting to see if anyone else will vote   	1
 chibi marrow that happened to me the other day  not fun 	0
had fun experimenting with my lovely new eyeshadow  i don't suit fake eyelashes though d  sososo excited about patrick wolf tomorrow  	1
thoroughly enjoying fftl album  dear diary  amazing lyrics 	1
 leluc irl as customer interaction  i'm a shy guy  sometimes    wasteofpaint ma duc la orange c  store  ii mai rapid asa 	1
my bike was nicked last night  twunts 	0
scanning an inked shirt design i'm on the fence about    tried a bit of a new style    not too sure if it worked 	0
This place is great!!!!!!!!!!!!!!	1
Mediocre food.	0
Once you get inside you'll be impressed with the place.	1
I'm super pissd.	0
Food quality has been horrible.	0
And service was super friendly.	1
Why are these sad little vegetables so overcooked?	0
This place was such a nice surprise!	1
They were golden-crispy and delicious.	1
"I had high hopes for this place since the burgers are cooked over a charcoal grill, but unfortunately the taste fell flat, way flat."	0
I could eat their bruschetta all day it is devine.	1
Not a single employee came out to see if we were OK or even needed a water refill once they finally served us our food.	0
"Lastly, the mozzarella sticks, they were the best thing we ordered."	1
"The first time I ever came here I had an amazing experience, I still tell people how awesome the duck was."	1
The server was very negligent of our needs and made us feel very unwelcome... I would not suggest this place!	0
The service was terrible though.	0
"This place is overpriced, not consistent with their boba, and it really is OVERPRICED!"	0
It was packed!!	0
I love this place.	1
I can say that the desserts were yummy.	1
The food was terrible.	0
The seasonal fruit was fresh white peach puree.	1
It kept getting worse and worse so now I'm officially done.	0
This place should honestly be blown up.	0
But I definitely would not eat here again.	0
Do not waste your money here!	0
I love that they put their food in nice plastic containers as opposed to cramming it in little paper takeout boxes.	1
The crêpe was delicate and thin and moist.	1
Awful service.	0
Won't ever go here again.	0
Food quality has been horrible.	0
For that price I can think of a few place I would have much rather gone.	0
The service here is fair at best.	0
"I do love sushi, but I found Kabuki to be over-priced, over-hip and under-services."	0
Do yourself a favor and stay away from this dish.	0
Very poor service.	0
No one at the table thought the food was above average or worth the wait that we had for it.	0
"Best service and food ever, Maria our server was so good and friendly she made our day."	1
They were excellent.	1
I paid the bill but did not tip because I felt the server did a terrible job.	0
Just had lunch here and had a great experience.	1
I have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor.	0
Food is way overpriced and portions are fucking small.	0
I recently tried Caballero's and I have been back every week since!	1
"for 40 bucks a head, i really expect better food."	0
The food came out at a good pace.	1
"I ate there twice on my last visit, and especially enjoyed the salmon salad."	1
I won't be back.	0
We could not believe how dirty the oysters were!	0
This place deserves no stars.	0
I would not recommend this place.	0
"In fact I'm going to round up to 4 stars, just because she was so awesome."	1
"To my disbelief, each dish qualified as the worst version of these foods I have ever tasted."	0
"Bad day or not, I have a very low tolerance for rude customer service people, it is your job to be nice and polite, wash dishes otherwise!!"	0
the potatoes were great and so was the biscuit.	1
I probably would not go here again.	0
So flavorful and has just the perfect amount of heat.	1
The price is reasonable and the service is great.	1
"The Wife hated her meal (coconut shrimp), and our friends really did not enjoy their meals, either."	0
My fella got the huevos rancheros and they didn't look too appealing.	0
"Went in for happy hour, great list of wines."	1
Some may say this buffet is pricey but I think you get what you pay for and this place you are getting quite a lot!	1
I probably won't be coming back here.	0
Worst food/service I've had in a while.	0
"This place is pretty good, nice little vibe in the restaurant."	1
Talk about great customer service of course we will be back.	1
"Hot dishes are not hot, cold dishes are close to room temp.I watched staff prepare food with BARE HANDS, no gloves.Everything is deep fried in oil."	0
I love their fries and their beans.	1
Always a pleasure dealing with him.	1
"They have a plethora of salads and sandwiches, and everything I've tried gets my seal of approval."	1
This place is awesome if you want something light and healthy during the summer.	1
"For sushi on the Strip, this is the place to go."	1
"The service was great, even the manager came and helped with our table."	1
The feel of the dining room was more college cooking course than high class dining and the service was slow at best.	0
"I started this review with two stars, but I'm editing it to give it only one."	0
this is the worst sushi i have ever eat besides Costco's.	0
"All in all an excellent restaurant highlighted by great service, a unique menu, and a beautiful setting."	1
My boyfriend and i sat at the bar and had a completely delightful experience.	1
Weird vibe from owners.	0
There was hardly any meat.	0
I've had better bagels from the grocery store.	0
I consider this theft.	0
"I love the owner/chef, his one authentic Japanese cool dude!"	1
"Now the burgers aren't as good, the pizza which used to be amazing is doughy and flavorless."	0
I found a six inch long piece of wire in my salsa.	0
"The service was terrible, food was mediocre."	0
We definately enjoyed ourselves.	1
I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.	0
"On three different occasions I asked for well done or medium well, and all three times I got the bloodiest piece of meat on my plate."	0
I had about two bites and refused to eat anymore.	0
The service was extremely slow.	0
"After 20 minutes wait, I got a table."	0
Seriously killer hot chai latte.	1
"No allergy warnings on the menu, and the waitress had absolutely no clue as to which meals did or did not contain peanuts."	0
My boyfriend tried the Mediterranean Chicken Salad and fell in love.	1
Their rotating beers on tap is also a highlight of this place.	1
Pricing is a bit of a concern at Mellow Mushroom.	0
Worst Thai ever.	0
If you stay in Vegas you must get breakfast here at least once.	1
I want to first say our server was great and we had perfect service.	1
The pizza selections are good.	1
my bear is not himself   nothing so sad as a puppy who's down in the dumps   it's probably something he ate 	0
amprogel awww  thanks     remember to eat    	1
just made an appt for a mani nxt mon 	1
switching back to wp for now   	0
kudai a pop rock band from chile is the last one taking the stage tonight  	1
my back hurts so much  	0
 glamah hey  there's nothing wrong w  dreaming    one of my fave pastimes is to search sotheby's  or christie's  realty listings  	1
ok so it's finally open  in tempe  az http   loopt us eetb a t	0
cannot get chatroom feature to work    updated java to     checked ports  etc  i can see video  but in the  quot chat  quot  only a spinning circle 	0
i cant open it 	0
 colormekelly i give up  lmao  she isn't replying any time soon x 	0
wings needs to get off their asses and earn a huge win tonight    	1
omg  ent plz   anddd  i haven't ever been this confused about guys in my life  so weird and sucky 	0
watching    hours 	1
 a smart union can't answer you dm if you're not following   nimitz	0
 kirstiealley we hadfun upbeat family daughter got bf that is odd medicated and she ran away last night      did not help she is     	0
 a  tionadiq lol mybad  i had pj's on when i first met you 	0
awesome pieces of food art  cute and creative  http   tinyurl com d bo x  art  food  oddity	1
my eye hurtssss  i wanna cry but it'll just hurt moreeee  	0
off to see the hangover 	1
therealhardyshow   youtube     sooo hilarious 	1
club with my ladies    love them   get drunkk bitch 	1
i've been crying for    mins 	0
 jezriyah good luck today   i'll see you in about a half hour  	1
wasn't    inches so i couldn't ride the thunderbolt 	0
 karencaseysmith how's the party going  	1
found self driving to work this morning wishing for rain to wash the dust off of the poor poor car    wks no wash 	0
 mzmraz oops  i think i should have sent you a dm instead  ym tayo  dm me your id  	1
am thinking about meeting a rich man and becoming a house wife 	1
very sad about jon and kate  those poor little kids  	0
 keithcumsonu i got painful but beautiful memory to that song   with   guys   	0
having fun   going to alti later 	1
yay i get to see clarence today 	1
 mitchbenn just caught tns podcast   true quality  thanks to you all for a great start to sunday 	1
 cheshirewoman  comedyqueen  laurenrocks  mrsvartan  suerk  thank you for your  maternalhealth support 	1
i'm learning math   i will writing test to math   nooo    	0
 deepndistant ok  g just reminded me that i did see that one  it's the new one  quantum of solace  i have yet to see  need more coffee 	1
p s  i now have     books  it's a sickness  i tells ya  	1
 e m u  bastard    i really wanted to go today too    works blows all kinds of donkeys    	0
i usually have      columns going on tweetdeck at once  trying to figure out how to on seesmic  columns overlap when adding columns  	0
i am reading a sweet valley twins high series book i had as a preteen that i found at a library sale today  oh the memories  	1
 noeljoulu that's good  your pic is soooooo cute lt     same tattoo  haha mine is just stupid pic xddhahaaa	1
those ass holes didn't even give us a warning and now i have a choice i can eat or try to pay for my apartment i can't afford  life blows	0
 symphnysldr http   twitpic com  p gi   sorry  but ian was better tho 	0
 cramstr   oh great  we will have soooo much fun as usual   poor alix rest in peace 	0
yeah what is new lol     is it      yet  	1
finally home  bed sounds so nice  missn  brittanyasnow tho  on thru phone 	1
morning twitter 	1
 niftyknits it's amazing how fast they've spread  i love seeing them everywhere   hooray for knitting 	1
 mrflyycity aww i wish i was there 	0
trying to decipher undocumented smpp error codes  this stuff will make me old before my time 	0
removalists comming to give quotes  but still enjoying the sth perth foreshore  i am going to miss it 	0
my husband just drank all my iced chocolate 	0
that ink i posted earlier is broken  i will try and find one that works	0
i'm finally back home   good news is my ac is out  amp  it's like    degrees in the house  i'm gonna get another hotel room now that i'm here 	0
 sarahprout i like the idea of  sproutamillion  your hash tag will be at the end of all my tweets   let me know if i can help more 	1
 beautifulplague some are chocolate chip and some are white chocolate chip  i don't work until thursday or else i would bring you some  	0
we made teliscopes out of paper and paint  	1
 mileycyrus  aww you never write back to my tweets  only wish ud write back but      x	0
 royal flyness damn  sorry about your car  	0
 allysonfelix hey allyson  i've heard track athletes mention taking ice baths   why an ice bath instead of the hot tub   just curious 	1
photo  the economy has even hurt the hells angels  http   tumblr com xlz  z lr	0
 imcudi u shld put an earring in one day jus to switch it up  if it hasnt closed by now lol  amp  ur one dimple is just fine 	1
 drumrolls yeah  ed roland the mastermind behind  quot shine quot    best drum machine i've ever heard    still great live  seen them    times 	1
 philthethrill   at least you were in the right region  i'm off by about       miles or so   can't help it though 	1
 moebuckz lol  i'm sick  no ones taking care of me    but if i could i would  lol	0
 liesgirlstell i'm not hungry  you go ahead and order  	1
 mebrownie    i love you baby    	1
http   twitpic com  uibd   love my new mini tophat 	1
i feel really sick today    not in the mood for school 	0
i hate meeting people on campus and having to tell them i failed to graduate  reliving the shame over and over is 'fun'  	0
i'm wondering if i'll ever get  chet cannon to reply to me  we have the same glasses  i was hoping that would count for something 	0
actively building my business network in philippines  neecd help  if anyone can  thankys 	1
i take it back  coming home when mom and sis are on vacation too was a bad idea     baalika vadhu is blasphemy    ' 	0
 california rain now i'm not going to get to meet him 	0
getting ready to go out for a fun night    yes a tuesday  	1
 mgkchild  hey terri great to see your smiling face 	1
well planning to get rid of all my fixtures in fifa     because is really doing my heading seeing so many with my name on  	1
happy with my bff  we're definetely back on track   	1
i know quoting future episodes isn't really spoiling anything  but every time i read them  i feel spoiled 	0
 mpq tran i'm still working too  i feel your pain sistah   go downstairs for   to get some air 	0
 pyuric eu am inceput 'neata cu red bull light  cum altfel  	1
woke up early this morning to the sound of rain   oh well  nevermind another day down    left now  	0
well  have to get going  have a great day all 	1
 gloriagarner wish i could say same  as i'm childless   but  i already called my mom this morningon the road down in tennessee 	0
 jneworleans heyyy maw  wats up 	1
proverbs        smile heaps today  it changes lives 	1
 shakes     sadly no robot songs in my library  	0
 kelliesimpson  davegorman had that on genius the other week  don't get him started on it  	1
ugh  tooo hot  fell asleep in the sun for   hours without sunblock on  so now im uncomfortable and sunburnt  	0
even after the aust  gov  rolls out its     bln    mb b'band  we'll still be way behind most of the rest of the worlds b'band speeds 	0
seriously  if the only thing i can tweet about is how facebook and twitter are  quot fighting quot  for my  quot love quot     then i know i've lost it 	1
to mmoro is the last day of work  cant believe it  i cant believe alot of things  watever    yep im yellin   	0
 ericat   woo  have fun in toledo  eat a slice for me  	1
sweet dreams twitterverse  oh and p s  mars is coming     	1
sunny socal isn't so sunny right now    	0
 shazzle   you're an inspiration  are you in training to increase your quota and punch more rude londoners each day   go sharon 	1
it's not even cold here  but im wearin a big jacket  it's got cat ears on it 	1
eaten my ice cream and feelin a bit better     back to exam revision now  oh the joy  l	0
going to bed  long day    zbrinner decided to divebomb a blanket which was too close to a seat black eye  also cd leak  also also rash  	0
